1.Name of text: TaleOfTwoCities_clean.txt
  Total Non-blank Character Count: 616151
  Total Blank Character Count: 123425
  Total Character Count: 739576
  Percentage Blank Character: 16.69% 
  Total Word Count: 135597
  Word/Count Dictionary: 
  Quietly : 1
  instant; : 1
  Dwell : 1
  inspiring : 2
  seacoast : 1
  described) : 1
  inveteracy : 1
  sympathise : 1
  afterwards; : 1
  to-morrow; : 1
  horrified : 1
  father's--for : 1
  child's--and : 1
  signals : 3
  name--making : 1
  Her--he : 1
  rehearsed : 1
  confirms : 1
  matter; : 1
  frontier : 1
  enabling : 1
  see--Sydney : 1
  enables : 1
  eagerly : 1
  entangling : 1
  sick-bed : 1
  moaning : 1
  rocking : 2
  reason--a : 1
  exact; : 1
  speak: : 1
  agreement : 1
  bereft : 2
  Affected : 1
  brooded : 1
  agreement--they : 1
  that--as : 1
  Lost : 1
  cry; : 1
  Receiving : 1
  whimpering : 1
  presses: : 1
  straying : 2
  discussing : 1
  twelve; : 1
  unwilling : 2
  ten; : 1
  mediation : 1
  seize : 2
  perplexedly : 1
  Customers : 1
  stop; : 1
  minority : 1
  her--and : 1
  listener : 1
  wrath--the : 1
  Wind : 2
  descends : 3
  summons : 1
  sister's : 1
  describes : 1
  'Defarge : 1
  smite : 2
  brings : 1
  oppressors : 2
  Vengeance; : 2
  wrathfully; : 1
  rescue : 1
  wouldst : 1
  not--thou : 1
  thee--which : 1
  depended : 2
  implacably : 1
  Angel : 1
  Juryman : 4
  superb : 2
  ledge : 1
  paper) : 1
  listener's : 1
  finger-- : 1
  to-day; : 1
  troubled; : 1
  doctrine : 1
  extermination : 2
  editor : 1
  pacifically : 1
  puzzling : 1
  Jacobin : 2
  keener : 2
  French) : 1
  member : 1
  croaking : 1
  coat-collar : 1
  cravat : 2
  shop-window : 1
  perish: : 1
  perish; : 1
  drying : 1
  wasted' : 1
  wantonly : 1
  'his : 1
  consolatory : 1
  gently; : 1
  despond : 1
  durst : 1
  them--I : 1
  supposition; : 1
  him--which : 1
  Immediately : 1
  speed; : 1
