1.Name of text: WarAndPeace_clean.txt
  Total Non-blank Character Count: 2626774
  Total Blank Character Count: 511698
  Total Character Count: 3138472
  Percentage Blank Character: 16.30% 
  Total Word Count: 562492
  Word/Count Dictionary: 
  absence: : 1
  so--though : 1
  mori : 1
  Memento : 1
  vocal : 1
  spitefully : 1
  thinking--and : 1
  still-existing : 1
  mutter : 1
  deafness : 1
  Belova's : 1
  handiest : 1
  before--she : 1
  morning--especially : 1
  functions : 2
  aims--only : 1
  deaths : 1
  grand- : 1
  coil : 1
  tempted : 1
  Adele : 1
  admiringly : 1
  arshin : 1
  unrolling : 1
  circumscribed: : 1
  debts--had : 1
  affairs--which : 1
  entailing : 1
  stinginess : 1
  untidiness : 1
  nephews : 1
  brother-in-law's : 1
  mother--and : 1
  forgetful : 1
  outlooks : 2
  remember--all : 1
  overheard) : 1
  reconsider : 1
  Nicholas; : 1
  instilled : 1
  piece) : 1
  life--were : 1
  servants--the : 1
  vindicating : 1
  head) : 1
  two; : 1
  sooner; : 1
  torrent : 1
  tortures : 1
  Cautiously : 1
  mistress-- : 1
  nurse--knowing : 1
  overfed : 1
  fussed : 1
  resorted : 1
  afraid--but : 1
  snuffling : 1
  three-month-old : 1
  rubbish--those : 1
  expired : 1
  weeks' : 1
  letters) : 1
  founders : 1
  overlapping : 1
  inextricably : 1
  divested : 1
  injurious--she : 1
  essentials : 1
  upbringing : 1
  occupied--that : 1
  regulate : 1
  business--in : 1
  subjection : 6
  -were : 1
  plain- : 1
  jealousy--she : 1
  ill-chosen : 1
  striding : 1
  relatives--Countess : 1
  family--that : 1
  resolves : 1
  digest : 2
  affords; : 1
  Discussions : 1
  beginnings : 1
  now; : 1
  themes : 1
  family: : 1
  proportions : 1
  know--but : 1
  agreeable--she : 1
  adorn : 2
  fluff : 1
  else--indefinite : 1
  entirely--that : 1
  allurements : 1
  inconveniencing : 1
  attitudes : 1
  seductive : 1
  powerfully : 1
  witchery : 1
  fascinate : 2
  accomplishments : 1
  marries : 1
  advocated : 1
  earnest--and : 1
  husband--as : 1
  confinements : 1
  not--but : 1
  solitude--she : 1
  memory) : 1
  ever-glowing : 1
  broader : 1
  laughing' : 1
  sleep' : 1
  'Papa : 1
  Awfully : 3
  Malvinas : 1
  endears : 1
  cond : 1
  bashfully : 1
  Holding : 1
  three-year-old : 1
  crossly: : 1
  waked : 2
  door: : 1
  everywhere) : 1
  asleep--he : 1
  crossness : 1
  her--Denisov's : 1
  mesdames : 1
  pregnancies : 2
  antagonism : 1
  with; : 1
  imply: : 1
  ill-humor : 1
  farm--especially : 1
  granaries : 1
  bailiff's : 1
  nobility; : 1
  elections : 1
  tunic : 2
  breakfasts : 1
  birthdays : 1
  Bolkonskis' : 1
  spacious : 1
  sofas : 1
  straitened : 1
  rebuilt : 1
  blossoms : 1
  strawberry : 1
  know--like : 1
  sterile : 2
  lacks : 1
  deal--there : 1
  commending : 1
  treasures : 1
  reading--a : 1
  seriousness--leaving : 1
  business-like : 1
  twelvemonth : 1
  clench : 1
  Today--it : 1
  Laocoon's : 1
  cameo : 2
  sentimentality : 1
  irregularities : 1
  dishonesty : 1
  either--in : 1
  trifled : 1
  devoutly : 1
  virtue's : 1
  fruitful--probably : 1
