1.Name of text: LesMiserables_clean.txt
  Total Non-blank Character Count: 2629426
  Total Blank Character Count: 518230
  Total Character Count: 3147656
  Percentage Blank Character: 16.46% 
  Total Word Count: 562208
  Word/Count Dictionary: 
  corrosive : 1
  sublimation : 2
  Martyrdom : 1
  re-entrance : 1
  self-sacrifice : 1
  friction; : 1
  hells : 1
  Brutus; : 1
  obsession : 1
  present; : 1
  surged : 1
  fought; : 1
  drip : 1
  participation : 1
  disgraceful : 1
  fender : 1
  armorer : 1
  Frightful : 1
  recover; : 1
  index : 1
  crossroads : 2
  direct; : 1
  Predestinations : 1
  excoriations : 1
  Funereal : 1
  sophism : 1
  slips; : 1
  [68] : 1
  LIVER : 1
  sunless : 1
  habiliments : 2
  half-naked : 1
  portmanteau : 1
  obstructions : 1
  musicians : 1
  wainscoting : 1
  unperceived : 1
  INSEPARABLE : 1
  fulfilment : 1
  Demand : 1
  loved--this : 1
  weeps : 1
  showering : 1
  passers : 1
  unknowns : 1
  scan : 1
  ravished : 1
  trinity : 1
  Yore : 1
  key-note : 1
  vertu-bamboche : 1
  oneself; : 1
  morn : 3
  dove-like : 1
  preen : 1
  coo : 2
  intoxicates : 1
  contented--that : 1
  astonishes : 1
  Ventre-saint-gris : 1
  feasting : 1
  catechism : 1
  Saperlotte : 1
  lottery; : 1
  husband; : 1
  Manage : 1
  Baucis : 1
  Philemon : 1
  Chloe : 1
  Daphnis : 1
  Cupid : 1
  arab : 1
  Methusalem : 1
  sighed; : 1
  idealize : 1
  Exist : 1
  rises; : 1
  submits : 1
  Alcestis : 1
  defy : 2
  cachuca : 1
  pourree : 1
  cholera-morbus : 1
  trip-gallant : 1
  gewgaw : 1
  patchouli : 1
  straws; : 1
  gold--the : 1
  omnipotence--women : 1
  quirking : 1
  quibbling : 1
  carats : 1
  Harley : 1
  Sancy : 4
  Moderate : 1
  cajole : 1
  enchant : 1
  Fine : 1
  Estelle : 1
  nightingales : 1
  rose-buds : 1
  gullets : 1
  rein : 1
  'Give : 1
  joys' : 2
  'Moderate : 1
  gyrations : 1
  overflow--proposed : 1
  hand--only : 1
  champagne : 1
